SJNB, Test_session, Date, Age, test_time, block, trials, Rocket1, Rocket2, Rocket3, Rocket4, RT, Correct 
093,1,31-Jan-2020 17:04:38,10,1,1,1,0,0,1,1,1742,0
093,1,31-Jan-2020 17:04:38,10,1,1,2,1,1,0,0,1509,0
093,1,31-Jan-2020 17:04:38,10,1,1,3,0,1,1,0,1743,0
093,1,31-Jan-2020 17:04:38,10,1,1,4,1,0,0,1,1743,0
093,1,31-Jan-2020 17:04:38,10,1,1,5,0,1,0,1,3492,0
093,1,31-Jan-2020 17:04:38,10,1,1,6,1,0,1,0,1510,1
093,1,31-Jan-2020 17:04:38,10,1,2,1,0,0,0,0,4644,0
093,1,31-Jan-2020 17:04:38,10,1,2,2,0,1,0,1,1042,1
