SJNB, Test_session, Date, Age, test_time, block, trials, Rocket1, Rocket2, Rocket3, Rocket4, RT, Correct 
086,1,14-Feb-2020 12:37:23,9,1,1,1,1,0,1,0,3054,1
086,1,14-Feb-2020 12:37:23,9,1,2,1,0,1,0,1,4384,1
086,1,14-Feb-2020 12:37:23,9,2,1,1,1,0,1,0,1633,1
086,1,14-Feb-2020 12:37:23,9,2,2,1,0,1,0,1,4163,1
