SJNB, Test_session, Date, Age, test_time, block, trials, Rocket1, Rocket2, Rocket3, Rocket4, RT, Correct 
083,0,31-Oct-2019 14:01:11,7,1,1,1,1,0,1,0,2092,1
083,0,31-Oct-2019 14:01:11,7,1,2,1,0,0,0,0,5572,0
083,0,31-Oct-2019 14:01:11,7,1,2,2,0,1,0,1,809,1
083,0,31-Oct-2019 14:01:11,7,2,1,1,0,1,1,0,1507,0
083,0,31-Oct-2019 14:01:11,7,2,1,2,1,0,0,1,810,0
083,0,31-Oct-2019 14:01:11,7,2,1,3,0,1,0,1,2675,0
083,0,31-Oct-2019 14:01:11,7,2,1,4,1,0,1,0,809,1
083,0,31-Oct-2019 14:01:11,7,2,2,1,0,1,0,1,1275,1
