SJNB, Test_session, Date, Age, test_time, block, trials, Rocket1, Rocket2, Rocket3, Rocket4, RT, Correct 
032,0,14-May-2019 16:02:36,6,1,1,1,0,1,1,0,4306,0
032,0,14-May-2019 16:02:36,6,1,1,2,1,0,0,1,2558,0
032,0,14-May-2019 16:02:36,6,1,1,3,0,1,1,0,3024,0
032,0,14-May-2019 16:02:36,6,1,1,4,0,1,0,1,2325,0
032,0,14-May-2019 16:02:36,6,1,1,5,1,0,1,0,2442,1
032,0,14-May-2019 16:02:36,6,1,2,1,0,1,0,1,3141,1
032,0,14-May-2019 16:02:36,6,2,1,1,0,1,0,1,2442,0
032,0,14-May-2019 16:02:36,6,2,1,2,1,0,1,0,3491,1
032,0,14-May-2019 16:02:36,6,2,2,1,0,1,0,1,2674,1
