SJNB, Test_session, Date, Age, test_time, block, trials, Rocket1, Rocket2, Rocket3, Rocket4, RT, Correct 
196,0,09-Mar-2020 14:34:46,8,1,1,1,1,0,1,0,1125,1
196,0,09-Mar-2020 14:34:46,8,1,2,1,0,1,0,1,1124,1
196,0,09-Mar-2020 14:34:46,8,2,1,1,1,0,1,0,3002,1
196,0,09-Mar-2020 14:34:46,8,2,2,1,0,1,0,1,1005,1
