SJNB, Test_session, Date, Age, test_time, block, trials, Rocket1, Rocket2, Rocket3, Rocket4, RT, Correct 
156,0,28-Feb-2020 11:37:02,10,1,1,1,1,0,1,0,1509,1
156,0,28-Feb-2020 11:37:02,10,1,2,1,0,1,0,1,1275,1
156,0,28-Feb-2020 11:37:02,10,2,1,1,1,0,1,0,1275,1
156,0,28-Feb-2020 11:37:02,10,2,2,1,0,1,0,1,1159,1
