SJNB, Test_session, Date, Age, test_time, block, trials, Rocket1, Rocket2, Rocket3, Rocket4, RT, Correct 
086,0,29-Oct-2019 14:25:26,9,1,1,1,1,0,1,0,3025,1
086,0,29-Oct-2019 14:25:26,9,1,2,1,0,1,0,1,1859,1
086,0,29-Oct-2019 14:25:26,9,2,1,1,1,0,1,0,4891,1
086,0,29-Oct-2019 14:25:26,9,2,2,1,0,1,0,1,1975,1
