SJNB, Test_session, Date, Age, test_time, block, trials, Rocket1, Rocket2, Rocket3, Rocket4, RT, Correct 
067,0,27-Sep-2019 13:03:02,10,1,1,1,1,0,1,0,5005,1
067,0,27-Sep-2019 13:03:02,10,1,2,1,0,0,0,0,8369,0
067,0,27-Sep-2019 13:03:02,10,1,2,2,0,1,0,1,1742,1
067,0,27-Sep-2019 13:03:02,10,2,1,1,0,1,1,0,4889,0
067,0,27-Sep-2019 13:03:02,10,2,1,2,1,0,1,0,2092,1
067,0,27-Sep-2019 13:03:02,10,2,2,1,0,1,0,1,1275,1
